 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         593   14    0.1100E+03  -0.89251345E+00  0.18779182E+00 -0.41006565E+00  -0.173470E+01  0.312811E+01  0.128910E+02
   1         602    4    0.1715E+03  -0.65149277E+00 -0.64124209E+00  0.40542027E+00  -0.251009E+01 -0.611816E+01  0.767927E+01
   1         605    2    0.2656E+03  -0.72987264E+00  0.53300315E+00  0.42801091E+00  -0.146603E+01  0.255515E+01  0.299950E+01
   1         606    6    0.2136E+03  -0.93635708E+00 -0.13488688E+00  0.32409999E+00  -0.123275E+01 -0.415321E+01  0.305568E+01
   1         615   14    0.5416E+02  -0.90971959E+00  0.19313163E+00 -0.36757329E+00  -0.240743E+01  0.671588E+01 -0.416677E+01
   1         623   12    0.4856E+02  -0.99576342E+00  0.13118358E-01 -0.91011651E-01  -0.255491E+01 -0.659969E+00  0.126884E+02
   1         625    7    0.1132E+03  -0.61558056E+00 -0.76230508E+00 -0.19987895E+00  -0.273272E+01 -0.287990E+01 -0.987249E+01
   1         626    9    0.4643E+02  -0.73507309E+00 -0.39894134E+00 -0.54819095E+00  -0.193556E+01  0.741727E+01 -0.130221E+02
   1         629   11    0.1448E+03  -0.95269328E+00 -0.27237275E+00 -0.13486469E+00  -0.268911E+01  0.552882E+01  0.103722E+02
   1         630    5    0.1426E+03  -0.73401475E+00 -0.65415126E+00 -0.18250585E+00  -0.233663E+01 -0.845542E+01 -0.529552E+01
   1         631   19    0.2918E+02  -0.98931491E+00  0.12719715E+00 -0.71251541E-01  -0.233311E+01 -0.759417E+01 -0.163476E+02
   1         632   10    0.1769E+03  -0.86696458E+00 -0.49308074E+00  0.72413288E-01  -0.139074E+01  0.118024E+02 -0.103034E+02
   1         636    9    0.1540E+02  -0.74360430E+00 -0.65541643E+00  0.13221896E+00  -0.186647E+01 -0.591665E+01  0.488075E+01
   1         637   10    0.1216E+03  -0.96081215E+00  0.16161191E+00  0.22521396E+00  -0.679032E+00 -0.151627E+02 -0.488640E+01
   1         639   14    0.1052E+02  -0.83712518E+00 -0.59336430E-03  0.54701108E+00  -0.281615E+01  0.530331E+00  0.527009E+01
