 cpt#    psproj# nr.coll deposition site x,y,z
                         (Angs)
   2         921   19    0.104790E+02 -0.329680E+02 -0.894748E+01
   1         922  219    0.141943E+03  0.158938E+02  0.895855E+02
   2         925   15    0.211559E+01 -0.369705E+01  0.106644E+02
   1         935  228    0.112804E+03 -0.759930E+02 -0.152666E+03
   2         938   10    0.784884E+01 -0.226801E+01  0.853615E+01
   2         941   13    0.139432E+02 -0.204469E+02  0.782638E+00
   2         942   15    0.171602E+02 -0.668923E+00  0.944715E-01
   1         951  199    0.281723E+02 -0.486909E+02  0.684447E+02
   2         954   19    0.587811E+01 -0.268459E+02 -0.806698E+01
   2         955    7    0.297593E+01 -0.124417E+02 -0.702435E+01
   2         957    8    0.397733E+01 -0.126858E+02  0.238018E+01
   2         958   17    0.956690E+01 -0.233959E+02  0.888413E+01
   2         959   12    0.110943E+01  0.263546E+01 -0.642299E+01
   2         962   11    0.113454E+02 -0.252111E+01 -0.515348E+01
   1         964  206    0.135924E+03  0.502080E+02  0.210869E+02
   2         968   14    0.323272E+01 -0.256681E+02  0.719637E+01
   2         970   19    0.190928E+02 -0.227661E+01 -0.104504E+02
   2         974   11    0.831503E+01 -0.557517E+01 -0.980370E+01
   1         976  228    0.137814E+03 -0.894235E+02  0.223731E+01
   1         980  216    0.128067E+03 -0.872772E+02  0.481673E+02
   2         984   15    0.171420E+01 -0.230350E+02 -0.189674E+01
   1         989  208    0.163659E+03  0.336645E+02  0.434535E+02
   2         990   13    0.602850E+01 -0.178819E+02  0.653958E+01
   2         991    6    0.551664E+01 -0.557853E+01 -0.169841E+01
   2         993   10    0.108686E+02 -0.155590E+02 -0.504749E+01
   2         994   13    0.777439E+01 -0.669021E+01  0.457572E+01
   1         996  220    0.174960E+03 -0.985677E+02 -0.302514E+02
   1         998  234    0.164188E+03 -0.884138E+01 -0.143252E+03
   2         999   15    0.200504E+02 -0.138930E+02  0.419228E+01
   1        1001  212    0.591344E+02 -0.387103E+01  0.101910E+03
   2        1004    9    0.336221E+01 -0.177126E+02  0.111877E+01
   2        1005   17    0.102453E+02 -0.152465E+02 -0.434270E+01
   2        1009   12    0.796031E+01 -0.185804E+02 -0.393741E+01
   2        1010   13    0.122381E+02 -0.126042E+02 -0.118821E+02
   2        1012    8    0.790218E+01 -0.139149E+02  0.367542E+01
   2        1015   15    0.195785E+02 -0.126128E+02  0.532254E+01
   1        1016  218    0.647977E+02 -0.794125E+02  0.220144E+01
   2        1020    8    0.584668E+01 -0.176628E+02  0.363141E+01
   2        1023   12    0.942964E+01 -0.175770E+02  0.894001E+01
   1        1026  220    0.831227E+02 -0.272437E+02 -0.133646E+03
