 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   2         269  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         270  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         271  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         272  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         273  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         274  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         275  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         276  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         277  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         278  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         279  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         280  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         281  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         282  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         283  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         284  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         285  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         286  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         287  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         288  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         289  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         290  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         291  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         292  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         293  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         294  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         295  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         296  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
